CODIGO,DIST_CONC_FREG,T_ELEI,D_ELEI,SIGLA,T_DADOS,VOTOS,P_VOTOS
230000,PORTUGAL,pe,18/06/1989,CDS,O,587497,14.16
230000,PORTUGAL,pe,18/06/1989,CDU,O,597759,14.40
230000,PORTUGAL,pe,18/06/1989,FER,O,7833,0.19
230000,PORTUGAL,pe,18/06/1989,MDP/CDE,O,56900,1.37
230000,PORTUGAL,pe,18/06/1989,PCTP/MRPP,O,26682,0.64
230000,PORTUGAL,pe,18/06/1989,PDC,O,29745,0.72
230000,PORTUGAL,pe,18/06/1989,POUS,O,11182,0.27
230000,PORTUGAL,pe,18/06/1989,PPM,O,84272,2.03
230000,PORTUGAL,pe,18/06/1989,PS,O,1184380,28.54
230000,PORTUGAL,pe,18/06/1989,PPD/PSD,O,1358958,32.75
230000,PORTUGAL,pe,18/06/1989,PSR,O,31775,0.77
230000,PORTUGAL,pe,18/06/1989,UDP,O,45017,1.08
